id,source_dataset,source_url_json,categoria,subcategoria,nombre,descripcion,municipio,territorio,lat,lon,direccion,telefono,web,ficha_turismo
txk_00000,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,BARRIKA SURF CAMP,"El albergue Barrika Surf Camp se encuentra en Barrika, pequeña población situada al...",Barrika,BIZKAIA,43.4052554955654,-2.96573902296243,,,http://www.barrikasurfcamp.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066641_a1_rec_turismo/es_66641/66641-ficha2.html
txk_00001,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,MOANA SURF HOSTEL,Moana Surf Hostel situado en la pequeña localidad de Urduliz  en un entorno verde y boscos...,Urduliz,BIZKAIA,43.3709388791933,-2.94911924358427,,,http://www.moanasurfhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066661_a1_rec_turismo/es_66661/66661-ficha2.html
txk_00002,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,GANBARA,"El albergue Ganbara Hostel, situado en el Casco Viejo de Bilbao es un alojamiento moderno y diver...",Bilbao,BIZKAIA,43.2583651967523,-2.91871262025516,,,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066681_a1_rec_turismo/es_66681/66681-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066681_a1_rec_turismo/es_66681/66681-ficha2.html
txk_00003,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,PIL PIL HOSTEL,"Pil Pil Hostel está ubicado en el centro de Bilbao, muy cerca del estadio de fútbol...",Bilbao,BIZKAIA,43.262776242491,-2.94655542372641,,,http://www.pilpilhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066701_a1_rec_turismo/es_66701/66701-ficha2.html
txk_00004,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,BILBAO AKELARRE YOUTH HOSTEL,"Albergue Bilbao Akelarre Youth Hostel está situado en el barrio de Deusto de Bilbao, conoc...",Bilbao,BIZKAIA,43.2687045091022,-2.95443208837744,,,http://www.bilbaoakelarrehostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066721_a1_rec_turismo/es_66721/66721-ficha2.html
txk_00005,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,URBAN HOUSE,"El albergue Urban house, está situado en la Plaza Gipuzkoa, en pleno Casco Viejo de San Se...",Donostia / San Sebastián,GIPUZKOA,43.3215506963448,-1.98276478037686,,,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067061_a1_rec_turismo/es_67061/67061-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067061_a1_rec_turismo/es_67061/67061-ficha2.html
txk_00006,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,UBA HOSTEL,"Nuestras playas urbanas nos convierten en una singular combinación de olas y bullicio, de ...",Donostia / San Sebastián,GIPUZKOA,43.3078797266407,-1.95497944920439,,,https://ubahostel.net/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067081_a1_rec_turismo/es_67081/67081-ficha2.html
txk_00007,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,ZARAUTZ HOSTEL,Este albergue inaugurado en 2014 está situado a tan sólo 5 minutos de la playa de Z...,Zarautz,GIPUZKOA,43.2846143096364,-2.15888656506313,,,http://www.zarautzhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000068181_a1_rec_turismo/es_68181/68181-ficha2.html
txk_00008,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,MOON HOSTEL BIO,Moon Hostel Bio es un albergue moderno y cómodo ubicado en el céntrico  barrio bilb...,Bilbao,BIZKAIA,43.2722987353625,-2.94677847047635,,,http://www.moonhostelbio.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069801_a1_rec_turismo/es_69801/69801-ficha2.html
txk_00009,albergues,https://opendata.euskadi.eus/contenidos/ds_recursos_turisticos/albergues_de_euskadi/opendata/alojamientos.json,Alojamiento,Albergues,SAN FERMIN 1,"Este albergue está situado en pleno casco antiguo de San Sebastián, y rodeado de lo...",Donostia / San Sebastián,GIPUZKOA,43.3231732667082,-1.98482386356533,,,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069821_a1_rec_turismo/es_69821/69821-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069821_a1_rec_turismo/es_69821/69821-ficha2.html
