id,source_dataset,categoria,subcategoria,nombre,descripcion,municipio,territorio,lat,lon,web,ficha_turismo,google_place_id,google_rating,google_num_reviews,local_ratio_confidence,signal_category,signal_hidden,signal_language_norm,signal_municipality,mappable,has_google_data,excluir_modelo,rec_txoko_social,rec_mendi_familia,rec_kultura,local_ratio,google_match_conf
txk_00000,albergues,Alojamiento,Albergues,BARRIKA SURF CAMP,"El albergue Barrika Surf Camp se encuentra en Barrika, pequeña población situada al...",Barrika,BIZKAIA,43.4052554955654,-2.96573902296243,http://www.barrikasurfcamp.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066641_a1_rec_turismo/es_66641/66641-ficha2.html,ChIJO8_q8eFcTg0RF1_4mDiE5bA,4.7,46.0,medium,0.75,0.5379,0.3684,0.0,1,1,False,0,1,0,0.6426,high
txk_00001,albergues,Alojamiento,Albergues,MOANA SURF HOSTEL,Moana Surf Hostel situado en la pequeña localidad de Urduliz  en un entorno verde y boscos...,Urduliz,BIZKAIA,43.3709388791933,-2.94911924358427,http://www.moanasurfhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066661_a1_rec_turismo/es_66661/66661-ficha2.html,ChIJ5cJ0tKdcTg0RVSyuEl7naCI,4.6,361.0,high,0.75,0.3884,0.3684,0.0,1,1,False,0,1,0,0.5982,high
txk_00002,albergues,Alojamiento,Albergues,GANBARA,"El albergue Ganbara Hostel, situado en el Casco Viejo de Bilbao es un alojamiento moderno y diver...",Bilbao,BIZKAIA,43.2583651967523,-2.91871262025516,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066681_a1_rec_turismo/es_66681/66681-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066681_a1_rec_turismo/es_66681/66681-ficha2.html,ChIJXyM3J8pPTg0RdfxVBiPE5vc,3.9,443.0,high,0.75,0.2105,0.3684,0.0,1,1,False,0,1,0,0.5309,high
txk_00003,albergues,Alojamiento,Albergues,PIL PIL HOSTEL,"Pil Pil Hostel está ubicado en el centro de Bilbao, muy cerca del estadio de fútbol...",Bilbao,BIZKAIA,43.262776242491,-2.94655542372641,http://www.pilpilhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066701_a1_rec_turismo/es_66701/66701-ficha2.html,ChIJnU9JXiVQTg0RT46PefGzCWU,3.8,536.0,high,0.75,0.1804,0.3684,0.0,1,1,False,0,1,0,0.52,high
txk_00004,albergues,Alojamiento,Albergues,BILBAO AKELARRE YOUTH HOSTEL,"Albergue Bilbao Akelarre Youth Hostel está situado en el barrio de Deusto de Bilbao, conoc...",Bilbao,BIZKAIA,43.2687045091022,-2.95443208837744,http://www.bilbaoakelarrehostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000066721_a1_rec_turismo/es_66721/66721-ficha2.html,ChIJJbiI5j5QTg0R8h73Cqio6u4,4.4,335.0,high,0.75,0.3444,0.3684,0.0,1,1,False,0,1,0,0.5809,high
txk_00005,albergues,Alojamiento,Albergues,URBAN HOUSE,"El albergue Urban house, está situado en la Plaza Gipuzkoa, en pleno Casco Viejo de San Se...",Donostia / San Sebastián,GIPUZKOA,43.3215506963448,-1.98276478037686,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067061_a1_rec_turismo/es_67061/67061-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067061_a1_rec_turismo/es_67061/67061-ficha2.html,ChIJ4e2jxk2lUQ0Rcf8XNzrsZ9A,4.2,27.0,high,0.75,0.3551,0.3684,0.0,1,1,False,0,1,0,0.5789,high
txk_00006,albergues,Alojamiento,Albergues,UBA HOSTEL,"Nuestras playas urbanas nos convierten en una singular combinación de olas y bullicio, de ...",Donostia / San Sebastián,GIPUZKOA,43.3078797266407,-1.95497944920439,https://ubahostel.net/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000067081_a1_rec_turismo/es_67081/67081-ficha2.html,ChIJdRvqHoSvUQ0R0aiTdexiJTA,3.6,1244.0,high,0.75,0.1133,0.3684,0.0,1,1,False,0,1,0,0.4962,high
txk_00007,albergues,Alojamiento,Albergues,ZARAUTZ HOSTEL,Este albergue inaugurado en 2014 está situado a tan sólo 5 minutos de la playa de Z...,Zarautz,GIPUZKOA,43.2846143096364,-2.15888656506313,http://www.zarautzhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000068181_a1_rec_turismo/es_68181/68181-ficha2.html,ChIJC5pu8TvIUQ0RORRq5kgKDhs,4.6,261.0,high,0.75,0.411,0.3684,-0.1,1,1,False,0,1,0,0.5906,high
txk_00008,albergues,Alojamiento,Albergues,MOON HOSTEL BIO,Moon Hostel Bio es un albergue moderno y cómodo ubicado en el céntrico  barrio bilb...,Bilbao,BIZKAIA,43.2722987353625,-2.94677847047635,http://www.moonhostelbio.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069801_a1_rec_turismo/es_69801/69801-ficha2.html,ChIJx8t_pyJQTg0R7YsB0ggUa3Y,3.2,621.0,high,0.75,0.0438,0.3684,0.0,1,1,False,0,1,0,0.4667,high
txk_00009,albergues,Alojamiento,Albergues,SAN FERMIN 1,"Este albergue está situado en pleno casco antiguo de San Sebastián, y rodeado de lo...",Donostia / San Sebastián,GIPUZKOA,43.3231732667082,-1.98482386356533,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069821_a1_rec_turismo/es_69821/69821-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069821_a1_rec_turismo/es_69821/69821-ficha2.html,ChIJxdUjvk2lUQ0ReUFaxxrWz54,3.1,165.0,high,0.75,0.0277,0.3684,0.0,1,1,False,0,1,0,0.4597,high
txk_00010,albergues,Alojamiento,Albergues,SAN FERMIN 2,"Este albergue está situado en pleno casco antiguo de San Sebastián, y rodeado de lo...",Donostia / San Sebastián,GIPUZKOA,43.3231732667082,-1.98482386356533,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069841_a1_rec_turismo/es_69841/69841-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000069841_a1_rec_turismo/es_69841/69841-ficha2.html,ChIJ5z6KvU2lUQ0Rv4czODoBpgk,4.4,0.0,high,0.75,0.0,0.3684,0.0,1,1,False,0,1,0,0.4845,high
txk_00011,albergues,Alojamiento,Albergues,BBK BILBAO GOOD HOSTEL,"BBK Bilbao Good Hostel, está ubicado en el barrio bilbaíno de Bolueta, a tan s&oacu...",Bilbao,BIZKAIA,43.2467781848223,-2.90985744973047,http://www.bbkbilbaogoodhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000071221_a1_rec_turismo/es_71221/71221-ficha2.html,ChIJ5W_6_E5OTg0RRsHilCooJKw,4.1,480.0,medium,0.75,0.2534,0.3684,0.0,1,1,False,0,1,0,0.5479,high
txk_00012,albergues,Alojamiento,Albergues,GALERNA ZARAUTZ HOSTEL,"Galerna Zarautz Hostel ofrece, desde junio de 2014, a sus huéspedes un alojamiento econ&oa...",Zarautz,GIPUZKOA,43.2834113941069,-2.16507167215803,www.galernazarautzhostel.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000072321_a1_rec_turismo/es_72321/72321-ficha2.html,ChIJw2iZZkfIUQ0RmDZPn0rYaN0,2.5,174.0,high,0.75,0.0,0.3684,-0.1,1,1,False,0,1,0,0.423,high
txk_00013,albergues,Alojamiento,Albergues,DOWNTOWN RIVER,"Ofrece un alojamiento económico, moderno y confortable a sus huéspedes.El albergue ...",Donostia / San Sebastián,GIPUZKOA,43.3185152401597,-1.97944719791815,https://www.downtownriverhostel.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000072322_a1_rec_turismo/es_72322/72322-ficha2.html,ChIJLfd1lVClUQ0RKp5M4Vpo7b0,3.8,526.0,high,0.75,0.1811,0.3684,0.0,1,1,False,0,1,0,0.5202,high
txk_00014,albergues,Alojamiento,Albergues,SURFING ETXEA,"Además, se ofrecen distintas actividades en las que acercar el surf. Su ubicación c...",Donostia / San Sebastián,GIPUZKOA,43.3248119871467,-1.9736440311791,https://sansebastiansurfhostel.com/es,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000072681_a1_rec_turismo/es_72681/72681-ficha2.html,ChIJqxwwf0SlUQ0R4SfDKV9uc6A,4.5,218.0,high,0.75,0.397,0.3684,0.0,1,1,False,0,1,0,0.5981,high
txk_00015,albergues,Alojamiento,Albergues,BILBAO CENTRAL HOSTEL,"Inaugurado en 2013, el Bilbao Central Hostel está situado en una céntrica y a la ve...",Bilbao,BIZKAIA,43.2587863680574,-2.93460893127434,http://bilbao-central-hostel.bilbao.top-hotels-es.com/es/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000075561_a1_rec_turismo/es_75561/75561-ficha2.html,ChIJR1Nqj9ZPTg0RWOX6MuB7xGI,3.6,460.0,high,0.75,0.1393,0.3684,0.0,1,1,False,0,1,0,0.5035,high
txk_00016,albergues,Alojamiento,Albergues,BILBAO ATERPETXEA HOSTEL,Con capacidad para 170 personas es una buena alternativa de alojamiento para grupos e incluso par...,Bilbao,BIZKAIA,43.2632149651643,-2.96161953430324,https://bilbaohostel.net/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000075581_a1_rec_turismo/es_75581/75581-ficha2.html,ChIJ-QlkV0NQTg0R8QuwUM4FTcQ,2.0,28.0,high,0.75,0.0,0.3684,0.0,1,1,False,0,1,0,0.4245,high
txk_00017,albergues,Alojamiento,Albergues,LEKEITIO ATERPETXEA  HOSTEL,"Este albergue se encuentra en Lekeitio, una de las tradicionales villas marineras de Bizkaia que ...",Ispaster,BIZKAIA,43.3562973520276,-2.50680457688858,http://lekeitio-aterpetxea-hostel.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000076121_a1_rec_turismo/es_76121/76121-ficha2.html,ChIJ64eikuYmTg0RjA8Ag8Mz-F4,4.5,263.0,high,0.75,0.3848,0.3684,0.0,1,1,False,0,1,0,0.5947,high
txk_00018,albergues,Alojamiento,Albergues,BIDE ONA,Aquellos que lo hacen en bicicleta disponen de un servicio para guardarlas.Cuenta con ropa de cam...,Portugalete,BIZKAIA,43.3187833871443,-3.02337361387363,https://alberguebideona.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000079901_a1_rec_turismo/es_79901/79901-ficha2.html,ChIJnQBU7W1ZTg0RamZ0Gsh7cao,4.2,200.0,high,0.75,0.3221,0.3684,0.0,1,1,False,0,1,0,0.5697,high
txk_00019,albergues,Alojamiento,Albergues,LIZARRUSTI PARKETXEA,"En un entorno que aúna la  naturaleza, con el arte, la cultura y las personas se encuentra...",Ataun,GIPUZKOA,42.9604753638978,-2.09942254604331,www.lizarrusti.com,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000080161_a1_rec_turismo/es_80161/80161-ficha2.html,ChIJszH0k_hGUA0RpnRsjkOauqk,3.7,84.0,high,0.75,0.2134,0.3684,0.0,1,1,False,0,1,0,0.5267,high
txk_00020,albergues,Alojamiento,Albergues,LA BODEGA DE SALINILLAS,"Una bodega familiar convertida en alojamiento, en un edificio totalmente rehabilitado. Enclavada ...",Labastida/Bastida,ARABA,42.6335533457627,-2.83269851428492,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000081021_a1_rec_turismo/es_81021/81021-ficha2.html,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000081021_a1_rec_turismo/es_81021/81021-ficha2.html,ChIJ0RkVUkuMTw0RCOLZ5eFmjEw,4.7,25.0,high,0.75,0.4933,0.3684,0.0,1,1,False,0,1,0,0.6301,high
txk_00021,albergues,Alojamiento,Albergues,IZARBIDE,"El albergue se ubica en una antigua vaquería reformada, a las faldas del monte Arno y en p...",Mutriku,GIPUZKOA,43.2941245776486,-2.38593047746742,www.izarbideaterpetxea.wix.com/izarbide,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000081101_a1_rec_turismo/es_81101/81101-ficha2.html,ChIJE-ToSwDXUQ0RThHSCAwR5vQ,4.1,356.0,high,0.75,0.2677,0.3684,0.0,1,1,False,0,1,0,0.5519,high
txk_00022,albergues,Alojamiento,Albergues,BEIZAMAKO ATERPETXEA,"Se trata de un alojamiento perfecto para centros de enseñanza grupos, asociaciones y famil...",Beizama,GIPUZKOA,43.1340058944754,-2.19959677289112,http://www.beizamakoaterpetxea.com/,https://turismoa.euskadi.eus/webtur00-content/es/contenidos/a_alojamiento/0000081102_a1_rec_turismo/es_81102/81102-ficha2.html,ChIJnSHNBeo0UA0R9VZtVU0MEhg,4.7,69.0,high,0.75,0.5293,0.3684,0.0,1,1,False,0,1,0,0.6402,high
